TRUE	Sylvia atricapilla
TRUE	Acrocephalus scirpaceus
TRUE	Motacilla cinerea
TRUE	Troglodytes troglodytes
TRUE	Gallinula chloropus
TRUE	Turdus merula
TRUE	Aegithalos caudatus
TRUE	Carduelis carduelis
TRUE	Erithacus rubecula
TRUE	Columba palumbus
TRUE	Fringilla coelebs
TRUE	Muscicapa striata
TRUE	Chloris chloris
TRUE	Serinus serinus
TRUE	Apus apus
TRUE	Coccothraustes coccothraustes
TRUE	Certhia brachydactyla
TRUE	Oriolus oriolus
FALSE	Corvus cornix
TRUE	Dendrocoptes medius
TRUE	Phalacrocorax carbo
TRUE	Luscinia megarhynchos
TRUE	Picus viridis
TRUE	Hippolais icterina
TRUE	Cyanistes caeruleus
TRUE	Parus major
TRUE	Alcedo atthis
TRUE	Corvus frugilegus
FALSE	Lullula arborea
TRUE	Mergus merganser
TRUE	Sitta europaea
FALSE	Jynx torquilla
TRUE	Sylvia borin
FALSE	Tadorna tadorna
FALSE	Ciconia ciconia
FALSE	Cuculus canorus
FALSE	Phasianus colchicus
TRUE	Certhia familiaris
TRUE	Poecile palustris
TRUE	Strix aluco
TRUE	Ardea cinerea
TRUE	Buteo buteo
FALSE	Ixobrychus minutus
FALSE	Nycticorax nycticorax
FALSE	Remiz pendulinus
FALSE	Turdus iliacus
TRUE	Turdus philomelos
TRUE	Falco tinnunculus
FALSE	Grus grus
FALSE	Hydroprogne caspia
FALSE	Panurus biarmicus
FALSE	Tringa ochropus
TRUE	Corvus corone
FALSE	Coturnix coturnix
FALSE	Emberiza cirlus
FALSE	Fringilla montifringilla
FALSE	Phylloscopus sibilatrix
FALSE	Scolopax rusticola
FALSE	Gavia stellata
FALSE	Hippolais polyglotta
FALSE	Phoenicurus phoenicurus
TRUE	Streptopelia decaocto
TRUE	Anas platyrhynchos
FALSE	Cisticola juncidis
FALSE	Columba oenas
TRUE	Dryocopus martius
TRUE	Lophophanes cristatus
FALSE	Phylloscopus bonelli
TRUE	Phylloscopus collybita
TRUE	Regulus regulus
FALSE	Acrocephalus arundinaceus
FALSE	Acrocephalus palustris
FALSE	Acrocephalus schoenobaenus
FALSE	Anas acuta
FALSE	Athene noctua
FALSE	Branta canadensis
FALSE	Charadrius hiaticula
FALSE	Chroicocephalus ridibundus
TRUE	Corvus corax
FALSE	Curruca curruca
TRUE	Cygnus olor
TRUE	Dendrocopos major
TRUE	Dryobates minor
FALSE	Emberiza calandra
FALSE	Emberiza cia
TRUE	Falco peregrinus
TRUE	Fulica atra
TRUE	Garrulus glandarius
TRUE	Milvus migrans
TRUE	Milvus milvus
FALSE	Numenius arquata
TRUE	Periparus ater
TRUE	Pica pica
TRUE	Regulus ignicapilla
FALSE	Turdus pilaris
TRUE	Turdus viscivorus
FALSE	Tyto alba
